Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Public Relations,Group A,Full Time,Divorced,62,Houston,00:00.0,Non Active,2,14,2 Years,3 Years,College,High,High,Excellent,Low,Better,Pearson,Female,97801,Other,1758
Customer Relations,Group C,Part Time,Divorced,47,Houston,00:00.0,Active,5,17,2 Years,3 Years,Doctor,High,High,Good,Very High,Bad,Rhodes,Female,98612,Other,1801
Quality Assurance,Group D,Part Time,Divorced,43,Los Angeles,00:00.0,Non Active,5,13,2 Years,3 Years,Doctor,Very High,Low,Excellent,Low,Best,Velasquez,Male,94860,Other,1813
Legal Department,Group C,Part Time,Divorced,54,Seattle,00:00.0,Non Active,7,12,2 Years,3 Years,College,Very High,Low,Outstanding,High,Bad,Forbes,Female,95290,Other,1971
Customer Service,Group D,Part Time,Divorced,40,New York City,00:00.0,Active,8,19,2 Years,3 Years,Bachelor,Medium,Medium,Excellent,High,Bad,Parks,Female,71746,Other,2083
Advertising,Group A,Part Time,Divorced,61,Seattle,00:00.0,Non Active,3,8,2 Years,3 Years,Doctor,Medium,Medium,Excellent,Low,Good,Macdonald,Male,119953,Other,2161
Asset Management,Group D,Part Time,Divorced,48,Houston,00:00.0,Active,11,11,2 Years,3 Years,Bachelor,Very High,High,Low,Low,Good,Foster,Female,119376,Other,2247
Research and Development,Group D,Part Time,Divorced,65,New York City,00:00.0,Active,11,9,2 Years,3 Years,Bachelor,Very High,Very High,Outstanding,Medium,Better,Franklin,Male,88226,Other,2319
Human Resources,Group B,Part Time,Divorced,49,New York City,00:00.0,Active,7,12,2 Years,3 Years,Doctor,Low,Low,Good,Medium,Best,Mills,Male,88472,Other,2410
Accounting,Group A,Part Time,Divorced,48,Los Angeles,00:00.0,Non Active,12,17,2 Years,3 Years,College,Low,Very High,Outstanding,Low,Better,Douglas,Female,73901,Other,2484
Research and Development,Group B,Part Time,Divorced,24,Houston,00:00.0,Active,10,15,2 Years,3 Years,Masters,Very High,Very High,Good,Very High,Best,Parks,Female,81588,Other,2526
Research and Development,Group C,Part Time,Divorced,39,Seattle,00:00.0,Active,1,10,2 Years,3 Years,Bachelor,Low,Low,Excellent,Very High,Bad,Glenn,Female,117591,Other,2538
Advertising,Group B,Part Time,Divorced,47,Los Angeles,00:00.0,Active,2,13,2 Years,3 Years,Doctor,High,Very High,Good,Medium,Better,Boyle,Male,94006,Other,2570
Finances,Group C,Full Time,Divorced,64,New York City,00:00.0,Active,2,9,2 Years,3 Years,Doctor,Low,Very High,Low,Medium,Good,Gonzales,Male,73348,Other,2714
Customer Relations,Group A,Full Time,Divorced,53,New York City,00:00.0,Non Active,3,12,2 Years,3 Years,College,High,High,Outstanding,Very High,Bad,Carr,Male,85742,Other,2890
Research and Development,Group A,Part Time,Divorced,54,Seattle,00:00.0,Active,8,14,2 Years,3 Years,College,Medium,Low,Low,Very High,Better,Vargas,Female,106400,Other,2927
Finances,Group D,Part Time,Divorced,64,Los Angeles,00:00.0,Active,9,11,2 Years,3 Years,Masters,Low,Low,Good,Very High,Bad,Jordan,Female,71104,Other,2957
Legal Department,Group D,Part Time,Divorced,30,New York City,00:00.0,Non Active,10,11,2 Years,3 Years,Masters,Medium,High,Low,Medium,Best,Heath,Female,116741,Other,2977
Finances,Group A,Part Time,Divorced,62,Seattle,00:00.0,Active,8,14,2 Years,3 Years,Doctor,Very High,Very High,Excellent,Very High,Bad,Buck,Male,89424,Other,2980
Media Relations,Group D,Part Time,Divorced,62,Houston,00:00.0,Non Active,12,16,2 Years,3 Years,Doctor,Low,Very High,Outstanding,High,Best,Perez,Male,114822,Other,3019
Customer Relations,Group C,Full Time,Divorced,38,Houston,00:00.0,Active,12,13,2 Years,3 Years,College,Low,Very High,Outstanding,High,Bad,Joyner,Male,106915,Other,3064
Asset Management,Group A,Full Time,Divorced,53,Seattle,00:00.0,Non Active,6,11,2 Years,3 Years,College,High,High,Outstanding,Very High,Good,Calhoun,Female,70637,Other,3114
Payroll,Group A,Part Time,Divorced,61,New York City,00:00.0,Non Active,7,9,2 Years,3 Years,Masters,High,Medium,Low,Very High,Bad,Webb,Female,73667,Other,3138
Media Relations,Group D,Part Time,Divorced,31,New York City,00:00.0,Non Active,8,17,2 Years,3 Years,Bachelor,Very High,Low,Outstanding,Low,Bad,Wolfe,Female,92372,Other,3142
Human Resources,Group A,Full Time,Divorced,29,Los Angeles,00:00.0,Active,10,13,2 Years,3 Years,Bachelor,Medium,Medium,Good,Medium,Best,Logan,Male,88443,Other,3153
Human Resources,Group C,Full Time,Divorced,38,Houston,00:00.0,Active,8,18,2 Years,3 Years,Bachelor,High,Very High,Excellent,Medium,Best,Flowers,Male,106439,Other,3246
Payroll,Group A,Full Time,Divorced,64,Seattle,00:00.0,Non Active,7,11,2 Years,3 Years,College,Very High,Low,Excellent,Very High,Bad,Moreno,Female,79637,Other,3337
Tech Support,Group B,Part Time,Divorced,28,New York City,00:00.0,Active,9,20,2 Years,3 Years,Masters,High,Low,Excellent,Very High,Best,Snyder,Female,97204,Other,3463
Advertising,Group C,Full Time,Divorced,36,Seattle,00:00.0,Non Active,1,7,2 Years,3 Years,Masters,High,High,Low,Medium,Better,Marks,Male,88960,Other,3487
Payroll,Group D,Part Time,Divorced,45,New York City,00:00.0,Non Active,3,8,2 Years,3 Years,Bachelor,Low,Medium,Excellent,Medium,Best,Gill,Female,83696,Other,3497
Accounting,Group B,Part Time,Divorced,37,New York City,00:00.0,Active,10,11,3 Years,3 Years,Bachelor,Medium,Low,Low,High,Better,Sanders,Male,104528,Other,3
Customer Relations,Group A,Part Time,Divorced,52,New York City,00:00.0,Non Active,9,5,3 Years,3 Years,Doctor,High,Low,Excellent,High,Better,Mcgee,Female,116513,Other,74
Quality Assurance,Group B,Full Time,Divorced,35,Los Angeles,00:00.0,Non Active,9,18,1 Year,3 Years,Masters,Low,Low,Excellent,Very High,Good,Sandoval,Female,85548,Other,85
Customer Relations,Group A,Part Time,Divorced,33,Los Angeles,00:00.0,Active,11,15,1 Year,3 Years,Masters,Low,Low,Low,Low,Bad,Slater,Male,102903,Other,152
Payroll,Group C,Part Time,Divorced,24,Houston,00:00.0,Active,12,5,3 Years,3 Years,Bachelor,Very High,Very High,Low,Low,Bad,Abbott,Female,87676,Other,320
Finances,Group A,Full Time,Divorced,28,New York City,00:00.0,Active,3,8,1 Year,3 Years,Masters,Low,Very High,Excellent,Medium,Good,Ingram,Male,106935,Other,424
Public Relations,Group A,Full Time,Divorced,43,Houston,00:00.0,Active,11,10,3 Years,3 Years,Doctor,Low,Very High,Excellent,Low,Better,Morin,Male,74105,Other,463
Legal Department,Group D,Part Time,Divorced,61,Seattle,00:00.0,Non Active,1,7,1 Year,3 Years,College,Medium,Medium,Outstanding,Very High,Best,Mcdowell,Male,82346,Other,472
Human Resources,Group C,Full Time,Divorced,32,Houston,00:00.0,Non Active,2,15,1 Year,3 Years,Masters,Very High,Low,Good,High,Better,Ball,Female,79911,Other,513
Media Relations,Group C,Full Time,Divorced,42,Los Angeles,00:00.0,Non Active,5,7,3 Years,3 Years,Masters,Very High,Very High,Good,High,Better,Pope,Male,82397,Other,517
Finances,Group B,Full Time,Divorced,56,New York City,00:00.0,Non Active,10,16,3 Years,3 Years,Masters,High,Low,Outstanding,Low,Best,Cotton,Female,95237,Other,540
Asset Management,Group C,Part Time,Divorced,64,Los Angeles,00:00.0,Active,9,19,3 Years,3 Years,Doctor,High,Medium,Excellent,High,Bad,Collins,Male,83771,Other,583
Public Relations,Group C,Part Time,Divorced,37,Houston,00:00.0,Active,11,13,3 Years,3 Years,Bachelor,Low,High,Low,High,Better,Burris,Male,111619,Other,591
Human Resources,Group A,Full Time,Divorced,36,New York City,00:00.0,Active,9,11,3 Years,3 Years,College,Low,Medium,Low,Medium,Bad,Wolfe,Male,113982,Other,607
Legal Department,Group B,Part Time,Divorced,29,Houston,00:00.0,Non Active,10,5,1 Year,3 Years,Masters,Low,Medium,Excellent,Medium,Good,Solis,Male,80307,Other,660
Research and Development,Group B,Full Time,Divorced,30,Los Angeles,00:00.0,Active,11,5,1 Year,3 Years,Bachelor,High,Medium,Excellent,Medium,Better,Wilkins,Female,98825,Other,727
Legal Department,Group B,Part Time,Divorced,36,Houston,00:00.0,Active,6,12,3 Years,3 Years,College,Very High,Low,Low,Low,Best,Duke,Male,96491,Other,850
Public Relations,Group D,Full Time,Divorced,30,Houston,00:00.0,Non Active,8,14,3 Years,3 Years,Bachelor,Very High,High,Low,High,Better,Pope,Male,73722,Other,865
Research and Development,Group D,Part Time,Divorced,27,Seattle,00:00.0,Non Active,3,11,1 Year,3 Years,Bachelor,Low,Low,Outstanding,Medium,Best,Avila,Male,111232,Other,875
Asset Management,Group A,Full Time,Divorced,58,Los Angeles,00:00.0,Active,3,12,1 Year,3 Years,Masters,Medium,High,Good,Very High,Bad,Mcdaniel,Male,78752,Other,910
Advertising,Group B,Part Time,Divorced,32,Houston,00:00.0,Non Active,11,20,3 Years,3 Years,College,Low,High,Good,Very High,Good,Yates,Female,117874,Other,915
Sales and Marketing,Group B,Full Time,Divorced,28,New York City,00:00.0,Non Active,7,16,1 Year,3 Years,Masters,Low,High,Low,Low,Best,Oneill,Female,84934,Other,953
Sales and Marketing,Group B,Part Time,Divorced,51,New York City,00:00.0,Active,8,12,1 Year,3 Years,Masters,Low,Medium,Outstanding,High,Bad,Mercer,Female,118661,Other,1038
Asset Management,Group B,Part Time,Divorced,32,New York City,00:00.0,Non Active,10,18,3 Years,3 Years,Bachelor,Very High,High,Excellent,Low,Best,Anderson,Male,91527,Other,1042
Research and Development,Group C,Part Time,Divorced,64,Seattle,00:00.0,Non Active,1,16,3 Years,3 Years,Bachelor,Low,Medium,Excellent,High,Bad,Fields,Female,81477,Other,1094
Legal Department,Group D,Part Time,Divorced,39,New York City,00:00.0,Non Active,9,19,1 Year,3 Years,Bachelor,Medium,Very High,Excellent,High,Better,Dalton,Male,85863,Other,1149
Sales and Marketing,Group D,Full Time,Divorced,48,New York City,00:00.0,Non Active,7,7,1 Year,3 Years,Doctor,Very High,Medium,Good,Low,Good,Daniels,Female,89000,Other,1151
Customer Relations,Group C,Part Time,Divorced,61,New York City,00:00.0,Active,5,5,3 Years,3 Years,Masters,Medium,Low,Excellent,Low,Bad,Adams,Female,70294,Other,1306
Human Resources,Group C,Full Time,Divorced,60,Seattle,00:00.0,Non Active,8,18,3 Years,3 Years,Bachelor,Low,High,Low,High,Better,Weeks,Female,88433,Other,1396
Finances,Group A,Full Time,Divorced,55,Seattle,00:00.0,Active,10,8,1 Year,3 Years,Bachelor,Low,High,Outstanding,High,Best,Chase,Male,72213,Other,1412
Human Resources,Group D,Full Time,Divorced,47,New York City,00:00.0,Non Active,1,12,1 Year,3 Years,Doctor,Very High,Medium,Excellent,Low,Good,Sanders,Female,76264,Other,1467
Customer Service,Group B,Full Time,Divorced,61,Los Angeles,00:00.0,Active,9,15,3 Years,3 Years,Masters,High,Very High,Excellent,High,Best,Bird,Male,119680,Other,1572
Accounting,Group A,Full Time,Divorced,60,Seattle,00:00.0,Non Active,3,12,1 Year,3 Years,College,Medium,Very High,Good,Low,Better,Tillman,Female,106909,Other,1622
Advertising,Group A,Part Time,Divorced,63,Houston,00:00.0,Active,6,19,3 Years,3 Years,Doctor,Very High,Medium,Outstanding,Very High,Better,Mcdonald,Female,104801,Other,1625
Customer Relations,Group A,Part Time,Divorced,35,New York City,00:00.0,Active,7,13,1 Year,3 Years,Bachelor,Low,Low,Good,High,Good,Pugh,Female,90907,Other,1664
Sales and Marketing,Group C,Part Time,Divorced,42,Seattle,00:00.0,Non Active,8,11,3 Years,3 Years,Bachelor,High,Low,Excellent,High,Bad,Morrow,Female,114615,Other,1666
Legal Department,Group D,Part Time,Divorced,30,New York City,00:00.0,Non Active,12,8,1 Year,3 Years,College,Medium,High,Good,Very High,Better,Wallace,Female,102246,Other,1688
Accounting,Group A,Part Time,Divorced,39,Seattle,00:00.0,Non Active,1,14,1 Year,3 Years,College,Very High,Medium,Low,Medium,Bad,Norris,Male,80795,Other,1745
Media Relations,Group C,Full Time,Divorced,48,Houston,00:00.0,Active,5,10,1 Year,3 Years,Doctor,Medium,Medium,Outstanding,Low,Bad,Galloway,Female,91256,Other,1785
Sales and Marketing,Group C,Full Time,Divorced,52,Seattle,00:00.0,Active,12,14,1 Year,3 Years,Masters,Low,Low,Good,Medium,Best,Serrano,Male,113106,Other,1790
Public Relations,Group C,Part Time,Divorced,30,New York City,00:00.0,Active,9,20,3 Years,3 Years,College,Very High,High,Good,Low,Bad,Gross,Male,72348,Other,1794
Customer Service,Group C,Part Time,Divorced,34,Seattle,00:00.0,Non Active,5,9,3 Years,3 Years,College,Medium,High,Low,High,Better,Branch,Female,77072,Other,1800
Tech Support,Group C,Full Time,Divorced,36,Seattle,00:00.0,Active,8,13,1 Year,3 Years,College,Low,Low,Outstanding,High,Bad,Daugherty,Male,113315,Other,1806
Customer Relations,Group A,Part Time,Divorced,58,Houston,00:00.0,Active,1,19,1 Year,3 Years,Doctor,High,Medium,Good,High,Better,Hickman,Female,111458,Other,1808
Payroll,Group C,Part Time,Divorced,44,New York City,00:00.0,Active,3,7,1 Year,3 Years,College,Low,High,Low,Very High,Better,Burton,Female,118998,Other,1811
Asset Management,Group D,Full Time,Divorced,51,New York City,00:00.0,Non Active,11,7,1 Year,3 Years,Masters,Very High,Low,Low,Low,Good,Mercer,Male,115908,Other,1821
Accounting,Group B,Full Time,Divorced,35,Houston,00:00.0,Non Active,7,11,1 Year,3 Years,Bachelor,Medium,High,Good,Low,Better,Obrien,Male,100796,Other,1850
Payroll,Group A,Full Time,Divorced,25,Seattle,00:00.0,Non Active,10,7,3 Years,3 Years,Bachelor,Low,Low,Outstanding,Medium,Best,Dejesus,Female,77770,Other,1894
Payroll,Group A,Part Time,Divorced,25,Seattle,00:00.0,Active,4,8,3 Years,3 Years,Bachelor,High,High,Outstanding,High,Better,Mayo,Female,76260,Other,1915
Public Relations,Group B,Full Time,Divorced,28,Houston,00:00.0,Active,8,18,1 Year,3 Years,College,Very High,High,Outstanding,Low,Bad,Olson,Male,82455,Other,1916
Media Relations,Group D,Full Time,Divorced,35,Seattle,00:00.0,Active,4,14,3 Years,3 Years,Bachelor,Low,Low,Excellent,Very High,Best,Gross,Female,83268,Other,1919
Sales and Marketing,Group C,Full Time,Divorced,35,Seattle,00:00.0,Active,11,20,3 Years,3 Years,Doctor,High,Medium,Outstanding,Medium,Better,Alford,Male,89043,Other,1975
Customer Service,Group D,Full Time,Divorced,37,New York City,00:00.0,Non Active,11,14,1 Year,3 Years,Doctor,High,High,Outstanding,Medium,Best,Rollins,Male,88728,Other,2006
Human Resources,Group B,Full Time,Divorced,64,Los Angeles,00:00.0,Active,9,16,1 Year,3 Years,Doctor,High,Low,Excellent,Medium,Best,Mckay,Male,96974,Other,2047
Finances,Group D,Full Time,Divorced,24,Houston,00:00.0,Non Active,1,7,1 Year,3 Years,College,High,High,Low,Medium,Better,Mcneil,Male,72176,Other,2067
Customer Relations,Group B,Part Time,Divorced,25,Los Angeles,00:00.0,Non Active,6,8,3 Years,3 Years,Masters,Medium,High,Good,High,Good,Callahan,Male,71823,Other,2081
Sales and Marketing,Group D,Full Time,Divorced,50,Seattle,00:00.0,Non Active,2,13,1 Year,3 Years,Doctor,High,High,Outstanding,Low,Better,Buckley,Male,81395,Other,2103
Advertising,Group A,Full Time,Divorced,64,Houston,00:00.0,Active,2,9,1 Year,3 Years,College,Very High,High,Outstanding,High,Better,Allen,Female,85179,Other,2132
Tech Support,Group B,Part Time,Divorced,57,New York City,00:00.0,Active,11,13,3 Years,3 Years,Bachelor,Low,Medium,Good,Medium,Good,Lang,Male,71900,Other,2194
Advertising,Group C,Part Time,Divorced,37,Seattle,00:00.0,Active,7,20,3 Years,3 Years,Masters,Medium,Medium,Outstanding,High,Bad,Gilliam,Female,95333,Other,2205
Accounting,Group C,Full Time,Divorced,29,Los Angeles,00:00.0,Non Active,7,5,1 Year,3 Years,Doctor,Very High,Low,Excellent,High,Bad,Robinson,Male,114243,Other,2214
Media Relations,Group C,Full Time,Divorced,57,New York City,00:00.0,Active,11,20,1 Year,3 Years,Doctor,High,Very High,Good,Low,Better,Cox,Female,108541,Other,2253
Advertising,Group A,Full Time,Divorced,26,Los Angeles,00:00.0,Active,3,19,3 Years,3 Years,Doctor,Medium,Very High,Good,Low,Bad,Sexton,Male,83937,Other,2277
Accounting,Group C,Full Time,Divorced,36,Houston,00:00.0,Non Active,5,9,3 Years,3 Years,College,High,Very High,Excellent,Low,Best,Serrano,Female,96870,Other,2299
Sales and Marketing,Group A,Full Time,Divorced,54,Houston,00:00.0,Non Active,3,8,3 Years,3 Years,College,Medium,Low,Outstanding,Very High,Best,Moss,Female,110449,Other,2320
Tech Support,Group C,Full Time,Divorced,24,New York City,00:00.0,Active,9,13,1 Year,3 Years,Masters,High,Very High,Low,Low,Best,Norton,Female,75242,Other,2330
Quality Assurance,Group B,Part Time,Divorced,49,Houston,00:00.0,Non Active,1,19,1 Year,3 Years,College,Low,High,Excellent,High,Bad,Bender,Female,80901,Other,2384
Asset Management,Group A,Part Time,Divorced,36,Los Angeles,00:00.0,Active,7,20,1 Year,3 Years,College,High,Low,Low,Medium,Best,Vaughn,Female,84162,Other,2414
Customer Service,Group C,Full Time,Divorced,48,Houston,00:00.0,Active,4,20,3 Years,3 Years,Doctor,Medium,Very High,Good,Very High,Bad,Blackwell,Female,105005,Other,2446
Payroll,Group A,Part Time,Divorced,42,Los Angeles,00:00.0,Active,4,6,1 Year,3 Years,Bachelor,Very High,Low,Good,Medium,Good,Randall,Female,102924,Other,2461
Payroll,Group B,Part Time,Divorced,51,Seattle,00:00.0,Non Active,9,6,1 Year,3 Years,Bachelor,Medium,Medium,Excellent,Medium,Good,Erickson,Male,78107,Other,2483
Tech Support,Group D,Full Time,Divorced,55,Los Angeles,00:00.0,Non Active,6,17,3 Years,3 Years,College,Medium,Low,Excellent,Low,Good,Yang,Female,89369,Other,2489
Media Relations,Group B,Full Time,Divorced,43,New York City,00:00.0,Active,7,9,1 Year,3 Years,Doctor,Very High,Medium,Excellent,Low,Better,Summers,Male,102606,Other,2515
Accounting,Group D,Part Time,Divorced,53,Houston,00:00.0,Non Active,6,9,3 Years,3 Years,College,Very High,Medium,Outstanding,High,Bad,Ryan,Female,70670,Other,2594
Sales and Marketing,Group D,Full Time,Divorced,25,Seattle,00:00.0,Non Active,9,7,3 Years,3 Years,College,High,Very High,Outstanding,Medium,Best,Deleon,Male,88980,Other,2682
Asset Management,Group D,Part Time,Divorced,32,Houston,00:00.0,Non Active,2,7,1 Year,3 Years,Bachelor,High,Medium,Low,Low,Better,Curtis,Female,88471,Other,2731
Human Resources,Group D,Full Time,Divorced,35,Houston,00:00.0,Active,5,9,1 Year,3 Years,Masters,High,Very High,Low,High,Bad,Vaughn,Male,101105,Other,2734
Quality Assurance,Group D,Part Time,Divorced,31,Houston,00:00.0,Active,11,10,3 Years,3 Years,Bachelor,Medium,High,Good,Medium,Better,Jordan,Male,90304,Other,2735
Quality Assurance,Group B,Part Time,Divorced,30,Seattle,00:00.0,Active,10,6,3 Years,3 Years,Masters,High,Very High,Excellent,High,Good,Ortiz,Male,102235,Other,2750
Legal Department,Group D,Part Time,Divorced,39,Seattle,00:00.0,Non Active,8,9,1 Year,3 Years,Masters,Medium,Medium,Low,High,Good,Delaney,Male,80617,Other,2792
Tech Support,Group A,Full Time,Divorced,60,New York City,00:00.0,Non Active,8,6,1 Year,3 Years,Bachelor,Low,Medium,Good,Low,Best,Knox,Male,89420,Other,2797
Customer Relations,Group D,Full Time,Divorced,51,Seattle,00:00.0,Active,3,12,3 Years,3 Years,Bachelor,High,Very High,Excellent,High,Bad,Kirkland,Female,101921,Other,2830
Human Resources,Group D,Part Time,Divorced,34,Los Angeles,00:00.0,Non Active,7,17,3 Years,3 Years,Bachelor,Very High,Medium,Good,Low,Best,Raymond,Male,76473,Other,2919
Legal Department,Group B,Full Time,Divorced,38,Seattle,00:00.0,Active,5,7,3 Years,3 Years,College,Medium,Medium,Outstanding,High,Bad,Alston,Male,108957,Other,2930
Human Resources,Group A,Part Time,Divorced,65,Seattle,00:00.0,Non Active,11,6,3 Years,3 Years,Masters,Low,Low,Good,Medium,Bad,Avery,Male,91763,Other,2948
Research and Development,Group D,Part Time,Divorced,63,Seattle,00:00.0,Non Active,5,8,1 Year,3 Years,College,Very High,High,Excellent,Low,Good,Sears,Male,111624,Other,3008
Public Relations,Group B,Part Time,Divorced,60,Houston,00:00.0,Active,12,5,3 Years,3 Years,Bachelor,Very High,Low,Excellent,Low,Best,Barber,Male,112201,Other,3015
Research and Development,Group C,Part Time,Divorced,61,Seattle,00:00.0,Non Active,10,6,1 Year,3 Years,Masters,Low,Low,Low,Medium,Better,Powers,Male,82931,Other,3022
Sales and Marketing,Group B,Part Time,Divorced,44,Seattle,00:00.0,Non Active,11,9,3 Years,3 Years,Masters,Medium,High,Low,Low,Good,Hansen,Male,97301,Other,3131
